,retrieved,expected,result
315,New Richard Brand Rice,New Richard Brand Rice,TP
316,A. Terri Sewell,A. Terri Sewell,TP
317,Rick Eric Alan Crawford,Rick Eric Alan Crawford,TP
318,NOT_FOUND,Chintan Desai,FN
319,Elvis Presley,Elvis Presley,TP
320,French James Hill,French James Hill,TP
321,Ryne Joe Swafford,Ryne Joe Swafford,TP
322,Iv Everett Clarke Tucker,Iv Everett Clarke Tucker,TP
323,J Michael Kalagias,J Michael Kalagias,TP
324,Josh Mahony,Josh Mahony,TP
325,Josh Moody,Josh Moody,TP
326,Jason Tate,Jason Tate,TP
327,Steve Womack,Steve Womack,TP
328,NOT_FOUND,Tom Canada,FN
329,E Jack Foster,E Jack Foster,TP
330,Martino Spicer,Susanann Martin,FP
331,Barbara Lee,Lee Mcqueen,FP
332,Catherine Hayden Shamel,Catherine Hayden Shamel,TP
333,Bruce Westerman,Bruce Westerman,TP
334,Zerk Maude,Aumua Amata,FP
335,Martha Mcsally,Martha Mcsally,TP
336,Kyrsten Sinema,Kyrsten Sinema,TP
337,Timi Boxhall,Tom O'halleran,FP
338,Wendy Rogers,Wendy Rogers,TP
339,Ayn Cranmer,Ann Kirkpatrick,FP
340,Lea Peterson Marquez,Lea Peterson Marquez,TP
341,M Raul Grijalva,M Raul Grijalva,TP
342,Peters Rudy Peters,Nicolas Joe Pierson,FP
343,Gwenore Sugge,Ii Thaddeus J Mr. Andreski,FP
344,H David Brill,H David Brill,TP
345,Humberto Sante,Delina Disanto,FP
346,Dr. Paul Gosar,Dr. Paul Gosar,TP
347,Gregor Haryaksha Knauer,Gregor Haryaksha Knauer,TP
348,Mr. Andy Biggs,Mr. Andy Biggs,TP
349,Joan Greene,Joan Greene,TP
350,Anita Malik,Anita Malik,TP
351,Maura Heather Ross,Maura Heather Ross,TP
352,David Schweikert,David Schweikert,TP
353,Ruben Gallego,Ruben Gallego,TP
354,Devin Wyke,Debbie Lesko,FP
355,Nanny Pauling,Hiral Tipirneni,FP
356,Md Steve Ferrara,Md Steve Ferrara,TP
357,Graig Yuryaev,Greg Stanton,FP
358,Mr James Patrick Bradley,Mr James Patrick Bradley,TP
359,Kevin Leon De,Kevin Leon De,TP
360,Dana Kiendl,Dianne Feinstein,FP
361,Audrey Denney,Audrey Denney,TP
362,Doug Lamalfa,Doug Lamalfa,TP
363,Jarrad Coulston,Jared Huffman,FP
364,Kenneth Dale Mensing,Kenneth Dale Mensing,TP
365,John Garamendi,John Garamendi,TP
366,Eugene Charles Schaupp,Eugene Charles Schaupp,TP
367,Thomas Mcclintock,Thomas Mcclintock,TP
368,Jessica Morse,Jessica Morse,TP
369,Anthony Mills,Anthony Mills,TP
370,Ian Nils Palsson,Ian Nils Palsson,TP
371,Mr. Mike Thompson,Mr. Mike Thompson,TP
372,Delma Jefferson,Delma Jefferson,TP
373,Doris Matsui,Doris Matsui,TP
374,Shahid Buttar,Amerish Bera,FP
375,Andrew Grant,Andrew Grant,TP
376,Paul Cook,Paul Cook,TP
377,M. Timothy Donnelly,M. Timothy Donnelly,TP
378,NOT_FOUND,Marge Doyle,FN
379,Ii Ted D Howze,Ii Ted D Howze,TP
380,Marla Livengood,Marla Livengood,TP
381,Mark Gerald Mcnerney,Mark Gerald Mcnerney,TP
382,Jeff Denham,Jeff Denham,TP
383,Josh Harder,Josh Harder,TP
384,Mark Desaulnier,Mark Desaulnier,TP
385,Gearalt Cereceres,John Fitzgerald,FP
386,Shahid Buttar,Shahid Buttar,TP
387,R Stephen Jaffe,R Stephen Jaffe,TP
388,Nancy Pelosi,Nancy Pelosi,TP
389,Lisa Remmer,Lisa Remmer,TP
390,Amerish Bera,Barbara Lee,FP
391,Cristina Osmena,Cristina Osmena,TP
392,Jackie Speier,Jackie Speier,TP
393,Peters Rudy Peters,Peters Rudy Peters,TP
394,Michael Eric Swalwell,Michael Eric Swalwell,TP
395,Jim Costa,Jim Costa,TP
396,Elizabeth Heng,Elizabeth Heng,TP
397,H Ronald Cohen,H Ronald Cohen,TP
398,Rohit Khanna,Rohit Khanna,TP
399,Ann Kirkpatrick,Anna Eshoo,FP
400,Ilka Culy,NOT_FOUND,FP
401,Sollie Lygoe,NOT_FOUND,FP
402,Baxie Alexandre,NOT_FOUND,FP
403,NOT_FOUND,NOT_FOUND,TN
404,Ilka Culy,NOT_FOUND,FP
405,Ellsworth True,NOT_FOUND,FP
406,NOT_FOUND,NOT_FOUND,TN
407,Teodora Guerola,NOT_FOUND,FP
408,Gracia Crang,NOT_FOUND,FP
409,Kahaleel Stailey,NOT_FOUND,FP
410,Cherlyn Cuttle,NOT_FOUND,FP
411,Bryant Peyro,NOT_FOUND,FP
412,Gaspard Birt,NOT_FOUND,FP
413,Devi Drynan,NOT_FOUND,FP
414,Grace Enderson,NOT_FOUND,FP
415,NOT_FOUND,NOT_FOUND,TN
416,Paul Cook,NOT_FOUND,FP
417,Charlton Yakovich,NOT_FOUND,FP
418,NOT_FOUND,NOT_FOUND,TN
419,Rick Eric Alan Crawford,NOT_FOUND,FP
